,Squad,Pl,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Er
0,vs Arsenal,26,9.0,150,97,73,51,26,61,139,43.9,78,1284,383,29.8,443,531,310,118,35,0,83,108,258,157,2
1,vs Aston Villa,23,9.0,133,89,65,52,16,50,133,37.6,83,1113,340,30.5,387,501,225,123,32,0,91,116,249,266,3
2,vs Brentford,20,9.0,134,79,55,58,21,37,102,36.3,65,1069,355,33.2,323,459,287,139,28,2,111,134,268,218,3
3,vs Brighton,21,9.0,144,82,77,52,15,42,115,36.5,73,1352,356,26.3,471,520,361,176,42,2,134,135,279,193,0
4,vs Burnley,18,9.0,123,70,63,43,17,42,107,39.3,65,1111,306,27.5,425,441,245,140,28,0,112,95,218,311,3
5,vs Chelsea,25,9.0,158,103,68,71,19,51,145,35.2,94,1577,384,24.4,459,682,436,147,46,1,101,141,299,165,1
6,vs Crystal Palace,19,9.0,205,110,92,80,33,67,161,41.6,94,1387,396,28.6,484,598,305,109,35,0,74,156,361,186,4
7,vs Everton,23,9.0,146,84,59,62,25,58,120,48.3,62,1234,361,29.3,417,507,310,167,41,0,126,120,266,223,0
8,vs Leeds United,22,9.0,171,114,83,63,25,68,154,44.2,86,1265,383,30.3,389,557,319,153,43,2,110,137,308,242,4
9,vs Leicester City,22,9.0,159,105,69,69,21,55,128,43.0,73,1383,402,29.1,409,651,323,129,36,0,93,147,306,185,1
10,vs Liverpool,23,9.0,166,93,116,42,8,69,138,50.0,69,1252,370,29.6,524,500,228,180,66,6,114,174,340,236,1
11,vs Manchester City,22,9.0,146,89,87,50,9,55,157,35.0,102,1406,337,24.0,593,557,256,177,63,1,114,143,289,177,4
12,vs Manchester Utd,21,9.0,153,100,76,51,26,54,155,34.8,101,1572,442,28.1,577,681,314,165,43,2,122,166,319,189,0
13,vs Newcastle Utd,22,9.0,170,103,86,64,20,54,146,37.0,92,1170,383,32.7,448,474,248,109,30,1,79,88,258,179,2
14,vs Norwich City,21,9.0,171,95,74,63,34,70,175,40.0,105,1331,396,29.8,349,523,459,129,34,1,95,94,265,131,2
15,vs Southampton,20,9.0,172,107,95,59,18,69,168,41.1,99,1275,375,29.4,457,553,265,149,44,1,105,108,280,263,3
16,vs Tottenham,21,9.0,192,115,82,80,30,74,168,44.0,94,1258,374,29.7,364,620,274,134,31,2,103,117,309,206,1
17,vs Watford,25,9.0,169,91,89,55,25,58,164,35.4,106,1188,384,32.3,419,496,273,118,25,0,93,126,295,187,1
18,vs West Ham,18,9.0,133,81,73,44,16,46,111,41.4,65,1217,332,27.3,472,509,236,158,53,2,105,94,227,239,6
19,vs Wolves,18,9.0,162,101,70,68,24,56,184,30.4,128,1240,358,28.9,412,570,258,138,36,2,102,133,295,166,3
