,Team,All (Home),All (Away),Gkp (Home),Gkp (Away),Def (Home),Def (Away),Mid (Home),Mid (Away),Fwd (Home),Fwd (Away)
0,Brentford,3.91,2.12,3.50,3.00,4.02,2.37,3.44,1.44,4.73,4.73
1,Chelsea,4.56,4.71,4.41,4.24,4.49,4.66,4.66,5.00,5.00,5.00
2,Man City,3.78,5.00,2.64,5.00,4.14,4.79,3.32,4.77,4.84,4.84
3,Norwich,1.00,1.30,1.00,2.33,1.00,2.22,1.00,1.75,3.21,3.21
4,Burnley,2.44,1.96,2.64,1.67,3.05,1.73,1.78,2.66,2.86,2.86
5,Spurs,2.92,2.95,2.45,3.00,3.26,2.06,3.42,4.15,2.23,2.23
6,Brighton,3.82,2.24,2.82,3.53,3.58,2.60,4.20,1.79,4.80,4.80
7,Crystal Palace,2.26,3.75,2.82,4.42,2.52,3.57,2.65,4.80,1.02,1.02
8,Aston Villa,3.05,4.24,3.36,5.00,3.78,3.99,2.72,4.23,1.96,1.96
9,Watford,2.85,1.00,2.64,3.00,2.51,2.11,3.41,1.35,3.76,3.76
10,Newcastle,2.97,2.54,3.91,5.00,3.44,4.56,3.36,1.24,1.50,1.50
11,Everton,3.48,2.98,3.05,4.42,3.45,3.22,4.01,3.93,3.56,3.56
12,Man Utd,3.99,1.77,4.41,3.00,4.34,1.97,4.06,1.00,2.38,2.38
13,Wolves,3.81,1.60,3.36,1.00,3.82,1.00,4.47,2.79,3.52,3.52
14,Arsenal,2.13,3.00,1.45,2.11,2.45,3.37,1.64,3.72,3.91,3.91
15,Liverpool,5.00,4.42,5.00,4.33,5.00,5.00,5.00,3.38,4.63,4.63
16,West Ham,3.87,3.52,2.59,3.36,3.90,4.59,4.55,2.73,3.58,3.58
17,Leicester,3.62,3.34,5.00,3.89,4.22,3.43,3.36,3.10,2.18,2.18
18,Leeds,2.73,2.74,2.59,3.36,3.48,3.31,2.46,2.69,1.85,1.85
19,Southampton,2.81,2.64,3.27,1.76,3.05,1.94,3.79,3.38,1.00,1.00
