,Squad,Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Arsenal,26,9.0,3819,4684,81.5,73253,24096,1568,1749,89.7,1651,1864,88.6,529,889,59.5,11,11.7,-0.7,102,256,97,25,286
1,vs Aston Villa,23,9.0,2976,3833,77.6,59308,19723,1152,1327,86.8,1315,1569,83.8,455,791,57.5,10,9.9,+0.1,98,181,57,11,213
2,vs Brentford,20,9.0,3636,4581,79.4,72697,22724,1391,1587,87.6,1601,1838,87.1,583,993,58.7,7,7.3,-0.3,74,274,90,25,293
3,vs Brighton,21,9.0,3104,3905,79.5,59241,20561,1290,1465,88.1,1313,1518,86.5,424,732,57.9,7,8.7,-1.7,89,213,74,16,253
4,vs Burnley,18,9.0,4032,4965,81.2,77350,24667,1706,1920,88.9,1760,2010,87.6,507,884,57.4,11,10.3,+0.7,108,279,110,19,357
5,vs Chelsea,25,9.0,3404,4217,80.7,65555,21326,1416,1592,88.9,1463,1654,88.5,466,802,58.1,1,5.8,-4.8,63,248,72,19,249
6,vs Crystal Palace,19,9.0,3360,4215,79.7,65092,21902,1426,1603,89.0,1369,1577,86.8,487,843,57.8,6,5.1,+0.9,66,279,82,22,274
7,vs Everton,23,9.0,3868,4807,80.5,78448,24737,1405,1621,86.7,1761,1976,89.1,636,1003,63.4,13,8.6,+4.4,86,287,91,26,346
8,vs Leeds United,22,9.0,2478,3309,74.9,50300,21325,1007,1175,85.7,1041,1269,82.0,391,728,53.7,12,11.0,+1.0,108,196,52,12,236
9,vs Leicester City,22,9.0,3467,4320,80.3,70335,22541,1307,1478,88.4,1505,1718,87.6,584,937,62.3,9,10.2,-1.2,112,255,90,23,311
10,vs Liverpool,23,9.0,2713,3594,75.5,53901,19530,1145,1338,85.6,1075,1289,83.4,437,832,52.5,3,8.3,-5.3,72,171,60,18,185
11,vs Manchester City,22,9.0,2693,3455,77.9,54505,18620,1013,1149,88.2,1256,1444,87.0,384,741,51.8,3,4.5,-1.5,43,155,47,8,183
12,vs Manchester Utd,21,9.0,3087,3886,79.4,59708,19505,1311,1458,89.9,1295,1500,86.3,437,791,55.2,13,9.3,+3.7,78,197,62,16,251
13,vs Newcastle Utd,22,9.0,4105,4909,83.6,77541,24261,1712,1900,90.1,1851,2078,89.1,489,796,61.4,15,12.1,+2.9,106,355,80,14,356
14,vs Norwich City,21,9.0,4080,4950,82.4,79880,24790,1667,1835,90.8,1741,1993,87.4,612,955,64.1,16,11.6,+4.4,105,331,97,21,344
15,vs Southampton,20,9.0,3279,4152,79.0,65893,22927,1283,1477,86.9,1442,1678,85.9,499,855,58.4,10,10.1,-0.1,76,227,68,16,282
16,vs Tottenham,21,9.0,3339,4130,80.8,67838,22443,1240,1415,87.6,1518,1731,87.7,530,841,63.0,10,8.9,+1.1,102,237,73,15,281
17,vs Watford,25,9.0,3921,4760,82.4,78486,25030,1473,1645,89.5,1804,2040,88.4,580,917,63.2,11,12.1,-1.1,98,322,89,15,383
18,vs West Ham,18,9.0,3476,4288,81.1,67610,21379,1350,1488,90.7,1607,1847,87.0,458,792,57.8,5,6.6,-1.6,79,242,71,26,267
19,vs Wolves,18,9.0,3428,4253,80.6,67216,21534,1351,1525,88.6,1547,1772,87.3,482,813,59.3,5,6.0,-1.0,71,230,60,11,259
