,Squad,Pl,Poss,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries	PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
0,Arsenal,26,47.1,9.0,5162,612,1746,2296,1467,237,4789,68,135,50.4,73,3,3269,17460,9973,385,134,46,119,87,3808,3342,87.8,252
1,Aston Villa,23,48.1,9.0,4566,583,1571,2053,1218,224,4135,79,133,59.4,83,5,2658,13194,7068,280,91,30,120,83,3307,2673,80.8,279
2,Brentford,20,42.8,9.0,4497,692,1809,1856,1057,192,4086,59,101,58.4,63,8,2355,11282,6067,217,69,19,100,97,3280,2445,74.5,220
3,Brighton,21,56.3,9.0,6016,748,2395,2377,1585,227,5644,66,115,57.4,73,2,3834,18513,9487,359,106,34,99,102,4791,4088,85.3,285
4,Burnley,18,39.4,9.0,4322,551,1340,1862,1312,182,3910,60,109,55.0,66,1,2269,11189,5215,222,78,12,100,81,3010,2277,75.6,208
5,Chelsea,25,54.8,9.0,6217,725,2177,2811,1595,243,5839,88,146,60.3,93,4,4065,19515,10721,445,140,52,91,105,4902,4309,87.9,308
6,Crystal Palace,19,52.7,9.0,5777,683,2025,2693,1393,223,5368,87,162,53.7,93,4,3794,18802,9557,353,119,40,141,137,4372,3773,86.3,258
7,Everton,23,41.3,9.0,4539,607,1697,1795,1308,224,4130,59,122,48.4,62,5,2536,14607,7836,296,110,41,105,89,3127,2464,78.8,258
8,Leeds United,22,59.3,9.0,5782,729,2270,2504,1385,236,5365,79,156,50.6,87,9,3806,21205,11859,385,100,41,118,102,4446,3784,85.1,333
9,Leicester City,22,51.3,9.0,5602,733,2101,2683,1125,214,5169,66,128,51.6,72,6,3589,16549,8952,351,104,43,110,104,4377,3666,83.8,292
10,Liverpool,23,61.7,9.0,6646,583,1753,3331,1941,332,6223,63,138,45.7,69,6,4283,20064,11402,522,139,61,115,97,5406,4711,87.1,437
11,Manchester City,22,63.8,9.0,6816,525,1624,3464,2177,395,6436,91,156,58.3,99,8,4930,25339,14685,690,161,104,99,90,5693,5118,89.9,385
12,Manchester Utd,21,57.2,9.0,6039,523,1673,2892,1883,256,5635,95,156,60.9,101,8,3941,20920,12522,540,169,56,90,98,4862,4214,86.7,363
13,Newcastle Utd,22,40.3,9.0,4363,615,1678,1801,1143,202,3958,81,147,55.1,92,5,2578,13679,7531,274,91,38,100,116,3011,2478,82.3,176
14,Norwich City,21,43.9,9.0,4931,821,2267,1961,960,156,4491,91,174,52.3,105,4,2964,14328,7707,258,69,20,106,103,3567,2997,84.0,209
15,Southampton,20,48.0,9.0,4948,505,1572,2305,1409,209,4526,92,166,55.4,97,8,3006,17635,10220,423,140,48,120,102,3644,2964,81.3,260
16,Tottenham,21,50.7,9.0,5478,621,1711,2788,1295,180,5055,86,165,52.1,94,3,3407,16334,8722,357,122,35,117,121,4117,3528,85.7,257
17,Watford,25,41.9,9.0,4497,699,1871,1836,1047,166,4060,100,164,61.0,106,20,2571,13536,7806,279,84,44,107,111,3192,2597,81.4,231
18,West Ham,18,50.7,9.0,5359,530,1651,2485,1588,245,4976,57,112,50.9,66,5,3414,19115,9658,374,142,35,102,88,4110,3474,84.5,323
19,Wolves,18,49.9,9.0,5244,572,1769,2426,1387,202,4854,111,177,62.7,121,11,3474,16821,9792,408,116,53,102,106,3963,3358,84.7,278
